,Year,County,Number in Poverty,Percent in Poverty
2,2016,Alameda,173386,10.7
3,2016,Alpine,199,18.6
4,2016,Amador,3846,11.3
5,2016,Butte,43428,19.5
6,2016,Calaveras,5833,13.1
7,2016,Colusa,2375,11.1
8,2016,Contra Costa,97573,8.7
9,2016,Del Norte,5842,23.7
10,2016,El Dorado,16073,8.7
11,2016,Fresno,245131,25.5
12,2016,Glenn,4632,16.7
13,2016,Humboldt,26632,20.0
14,2016,Imperial,40601,23.6
15,2016,Inyo,2184,12.3
16,2016,Kern,190993,22.4
17,2016,Kings,23247,17.4
18,2016,Lake,13065,20.7
19,2016,Lassen,4085,17.6
20,2016,Los Angeles,1629450,16.3
21,2016,Madera,30029,20.4
22,2016,Marin,19932,7.8
23,2016,Mariposa,3077,17.9
24,2016,Mendocino,16366,19.0
25,2016,Merced,53417,20.3
26,2016,Modoc,1571,18.4
27,2016,Mono,1583,11.5
28,2016,Monterey,53898,12.9
29,2016,Napa,10958,7.9
30,2016,Nevada,10662,10.9
31,2016,Orange,348173,11.1
32,2016,Placer,27340,7.2
33,2016,Plumas,2312,12.6
34,2016,Riverside,359774,15.3
35,2016,Sacramento,243760,16.3
36,2016,San Benito,6206,10.5
37,2016,San Bernardino,369012,17.6
38,2016,San Diego,400028,12.4
39,2016,San Francisco,87690,10.2
40,2016,San Joaquin,105268,14.6
41,2016,San Luis Obispo,29345,11.0
42,2016,San Mateo,50438,6.6
43,2016,Santa Barbara,59468,13.9
44,2016,Santa Clara,175627,9.3
45,2016,Santa Cruz,35339,13.4
46,2016,Shasta,30359,17.2
47,2016,Sierra,419,14.4
48,2016,Siskiyou,8109,18.8
49,2016,Solano,48701,11.4
50,2016,Sonoma,46604,9.4
51,2016,Stanislaus,77913,14.5
52,2016,Sutter,16390,17.1
53,2016,Tehama,13060,20.9
54,2016,Trinity,2668,21.3
55,2016,Tulare,112387,24.7
56,2016,Tuolumne,7781,15.4
57,2016,Ventura,81792,9.8
58,2016,Yolo,39303,19.0
59,2016,Yuba,12288,16.6
62,2017,Alameda,152087,9.3
63,2017,Alpine,202,18.1
64,2017,Amador,3762,10.9
65,2017,Butte,40728,18.1
66,2017,Calaveras,5904,13.1
67,2017,Colusa,2633,12.2
68,2017,Contra Costa,103883,9.1
69,2017,Del Norte,6113,24.6
70,2017,El Dorado,15620,8.3
71,2017,Fresno,205046,21.1
72,2017,Glenn,4111,14.8
73,2017,Humboldt,26262,19.7
74,2017,Imperial,35830,20.7
75,2017,Inyo,2087,11.8
76,2017,Kern,182948,21.2
77,2017,Kings,24810,18.4
78,2017,Lake,12817,20.2
79,2017,Lassen,3790,16.3
80,2017,Los Angeles,1490853,14.9
81,2017,Madera,31569,21.2
82,2017,Marin,20222,7.9
83,2017,Mariposa,2641,15.2
84,2017,Mendocino,14156,16.3
85,2017,Merced,61297,23.0
86,2017,Modoc,1658,19.2
87,2017,Mono,1313,9.3
88,2017,Monterey,49860,11.9
89,2017,Napa,9301,6.8
90,2017,Nevada,10889,11.0
91,2017,Orange,362109,11.5
92,2017,Placer,29873,7.8
93,2017,Plumas,2640,14.3
94,2017,Riverside,309235,12.9
95,2017,Sacramento,213232,14.1
96,2017,San Benito,5029,8.4
97,2017,San Bernardino,339748,16.0
98,2017,San Diego,385479,11.9
99,2017,San Francisco,87314,10.1
100,2017,San Joaquin,113375,15.5
101,2017,San Luis Obispo,31826,11.9
102,2017,San Mateo,48795,6.4
103,2017,Santa Barbara,60921,14.2
104,2017,Santa Clara,142603,7.5
105,2017,Santa Cruz,33262,12.6
106,2017,Shasta,30155,17.0
107,2017,Sierra,404,13.7
108,2017,Siskiyou,7679,17.7
109,2017,Solano,43352,10.0
110,2017,Sonoma,46165,9.3
111,2017,Stanislaus,75614,14.0
112,2017,Sutter,12628,13.2
113,2017,Tehama,12718,20.1
114,2017,Trinity,2529,20.3
115,2017,Tulare,110299,24.0
116,2017,Tuolumne,6205,12.2
117,2017,Ventura,80217,9.5
118,2017,Yolo,36761,17.5
119,2017,Yuba,11609,15.3
122,2018,Alameda,147394,9.0
123,2018,Alpine,190,17.3
124,2018,Amador,4130,11.8
125,2018,Butte,42016,18.5
126,2018,Calaveras,5454,12.1
127,2018,Colusa,2350,11.0
128,2018,Contra Costa,88980,7.8
129,2018,Del Norte,5065,20.4
130,2018,El Dorado,15401,8.1
131,2018,Fresno,208627,21.3
132,2018,Glenn,4271,15.4
133,2018,Humboldt,27002,20.3
134,2018,Imperial,37014,21.4
135,2018,Inyo,2172,12.3
136,2018,Kern,177021,20.5
137,2018,Kings,25481,18.8
138,2018,Lake,11689,18.4
139,2018,Lassen,3653,15.8
140,2018,Los Angeles,1409155,14.2
141,2018,Madera,30201,20.2
142,2018,Marin,16742,6.6
143,2018,Mariposa,2569,14.9
144,2018,Mendocino,15140,17.5
145,2018,Merced,56863,21.2
146,2018,Modoc,1631,19.1
147,2018,Mono,1312,9.3
148,2018,Monterey,55614,13.3
149,2018,Napa,11829,8.8
150,2018,Nevada,10171,10.3
151,2018,Orange,330559,10.5
152,2018,Placer,27596,7.1
153,2018,Plumas,2317,12.5
154,2018,Riverside,307511,12.7
155,2018,Sacramento,217138,14.3
156,2018,San Benito,5294,8.6
157,2018,San Bernardino,317514,14.9
158,2018,San Diego,372148,11.5
159,2018,San Francisco,87596,10.1
160,2018,San Joaquin,105351,14.3
161,2018,San Luis Obispo,34200,12.7
162,2018,San Mateo,51830,6.8
163,2018,Santa Barbara,54029,12.6
164,2018,Santa Clara,139074,7.3
165,2018,Santa Cruz,32027,12.2
166,2018,Shasta,26919,15.2
167,2018,Sierra,392,13.3
168,2018,Siskiyou,7396,17.1
169,2018,Solano,34281,7.9
170,2018,Sonoma,48846,9.9
171,2018,Stanislaus,84744,15.6
172,2018,Sutter,13011,13.5
173,2018,Tehama,10749,17.0
174,2018,Trinity,2656,21.6
175,2018,Tulare,102451,22.2
176,2018,Tuolumne,6417,12.5
177,2018,Ventura,76206,9.1
178,2018,Yolo,42311,20.1
179,2018,Yuba,13256,17.2
182,2019,Alameda,146315,8.9
183,2019,Alpine,193,17.2
184,2019,Amador,3462,9.8
185,2019,Butte,34503,16.1
186,2019,Calaveras,5477,12.1
187,2019,Colusa,2554,12.0
188,2019,Contra Costa,90482,7.9
189,2019,Del Norte,4445,17.9
190,2019,El Dorado,16649,8.7
191,2019,Fresno,200873,20.5
192,2019,Glenn,3397,12.1
193,2019,Humboldt,25136,19.1
194,2019,Imperial,38020,22.0
195,2019,Inyo,2071,11.7
196,2019,Kern,164817,19.0
197,2019,Kings,21840,16.0
198,2019,Lake,11622,18.3
199,2019,Lassen,3789,16.5
200,2019,Los Angeles,1319242,13.4
201,2019,Madera,26309,17.6
202,2019,Marin,17357,6.9
203,2019,Mariposa,2565,15.1
204,2019,Mendocino,11980,14.0
205,2019,Merced,46011,17.0
206,2019,Modoc,1757,20.5
207,2019,Mono,1437,10.1
208,2019,Monterey,52484,12.6
209,2019,Napa,9897,7.4
210,2019,Nevada,9268,9.4
211,2019,Orange,297658,9.5
212,2019,Placer,26170,6.6
213,2019,Plumas,2432,13.2
214,2019,Riverside,274953,11.3
215,2019,Sacramento,192993,12.6
216,2019,San Benito,6518,10.4
217,2019,San Bernardino,284359,13.3
218,2019,San Diego,335034,10.3
219,2019,San Francisco,82616,9.5
220,2019,San Joaquin,101772,13.6
221,2019,San Luis Obispo,31180,11.6
222,2019,San Mateo,46328,6.1
223,2019,Santa Barbara,51298,12.0
224,2019,Santa Clara,116401,6.1
225,2019,Santa Cruz,27531,10.6
226,2019,Shasta,23508,13.3
227,2019,Sierra,375,12.7
228,2019,Siskiyou,7484,17.4
229,2019,Solano,39018,9.0
230,2019,Sonoma,34758,7.2
231,2019,Stanislaus,70741,13.0
232,2019,Sutter,12310,12.8
233,2019,Tehama,10484,16.3
234,2019,Trinity,1986,16.5
235,2019,Tulare,86940,18.9
236,2019,Tuolumne,5781,11.3
237,2019,Ventura,68482,8.2
238,2019,Yolo,35608,16.9
239,2019,Yuba,11748,15.2
242,2020,Alameda,139636,8.6
243,2020,Alpine,159,14.3
244,2020,Amador,3678,10.3
245,2020,Butte,35963,17.3
246,2020,Calaveras,5310,11.6
247,2020,Colusa,2200,10.3
248,2020,Contra Costa,82136,7.2
249,2020,Del Norte,4604,18.5
250,2020,El Dorado,15992,8.4
251,2020,Fresno,168153,17.1
252,2020,Glenn,3470,12.4
253,2020,Humboldt,20847,15.8
254,2020,Imperial,31134,18.1
255,2020,Inyo,1940,10.9
256,2020,Kern,159609,18.3
257,2020,Kings,19874,14.5
258,2020,Lake,10131,15.9
259,2020,Lassen,3555,15.5
260,2020,Los Angeles,1289368,13.2
261,2020,Madera,21211,14.1
262,2020,Marin,15119,6.0
263,2020,Mariposa,2258,13.3
264,2020,Mendocino,12099,14.3
265,2020,Merced,44302,16.3
266,2020,Modoc,1529,17.9
267,2020,Mono,1285,9.0
268,2020,Monterey,47870,11.6
269,2020,Napa,10356,7.9
270,2020,Nevada,9040,9.2
271,2020,Orange,280128,9.0
272,2020,Placer,25815,6.5
273,2020,Plumas,2509,13.5
274,2020,Riverside,275176,11.2
275,2020,Sacramento,192386,12.5
276,2020,San Benito,5025,7.9
277,2020,San Bernardino,308021,14.3
278,2020,San Diego,306807,9.5
279,2020,San Francisco,85356,10.0
280,2020,San Joaquin,104295,13.9
281,2020,San Luis Obispo,28338,10.6
282,2020,San Mateo,41158,5.5
283,2020,Santa Barbara,44777,10.5
284,2020,Santa Clara,123516,6.6
285,2020,Santa Cruz,27524,10.7
286,2020,Shasta,24570,13.9
287,2020,Sierra,331,11.5
288,2020,Siskiyou,6086,14.3
289,2020,Solano,40283,9.3
290,2020,Sonoma,37609,7.8
291,2020,Stanislaus,70568,13.0
292,2020,Sutter,10984,11.5
293,2020,Tehama,8467,13.3
294,2020,Trinity,2162,18.0
295,2020,Tulare,79348,17.1
296,2020,Tuolumne,6158,12.1
297,2020,Ventura,75060,9.1
298,2020,Yolo,31066,14.8
299,2020,Yuba,12816,16.3
