"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"2016","00000","United States","315165470","44268996","44,022,086 to 44,515,906","14","13.9 to 14.1"
"2016","06000","California","38513333","5527621","5,475,835 to 5,579,407","14.4","14.3 to 14.5"
"2016","06001","Alameda County","1619071","173386","162,673 to 184,099","10.7","10.0 to 11.4"
"2016","06003","Alpine County","1068","199","156 to 242","18.6","14.5 to 22.7"
"2016","06005","Amador County","34175","3846","3,021 to 4,671","11.3","8.9 to 13.7"
"2016","06007","Butte County","222153","43428","38,902 to 47,954","19.5","17.5 to 21.5"
"2016","06009","Calaveras County","44647","5833","4,638 to 7,028","13.1","10.4 to 15.8"
"2016","06011","Colusa County","21332","2375","1,860 to 2,890","11.1","8.7 to 13.5"
"2016","06013","Contra Costa County","1125937","97573","89,345 to 105,801","8.7","8.0 to 9.4"
"2016","06015","Del Norte County","24640","5842","4,788 to 6,896","23.7","19.4 to 28.0"
"2016","06017","El Dorado County","184362","16073","13,421 to 18,725","8.7","7.3 to 10.1"
"2016","06019","Fresno County","963077","245131","234,017 to 256,245","25.5","24.3 to 26.7"
"2016","06021","Glenn County","27737","4632","3,834 to 5,430","16.7","13.8 to 19.6"
"2016","06023","Humboldt County","133030","26632","23,795 to 29,469","20","17.9 to 22.1"
"2016","06025","Imperial County","172183","40601","35,501 to 45,701","23.6","20.6 to 26.6"
"2016","06027","Inyo County","17818","2184","1,692 to 2,676","12.3","9.5 to 15.1"
"2016","06029","Kern County","852701","190993","180,203 to 201,783","22.4","21.1 to 23.7"
"2016","06031","Kings County","133567","23247","19,517 to 26,977","17.4","14.6 to 20.2"
"2016","06033","Lake County","63164","13065","11,073 to 15,057","20.7","17.5 to 23.9"
"2016","06035","Lassen County","23213","4085","3,244 to 4,926","17.6","14.0 to 21.2"
"2016","06037","Los Angeles County","9981948","1629450","1,589,664 to 1,669,236","16.3","15.9 to 16.7"
"2016","06039","Madera County","147056","30029","25,520 to 34,538","20.4","17.3 to 23.5"
"2016","06041","Marin County","254186","19932","17,036 to 22,828","7.8","6.7 to 8.9"
"2016","06043","Mariposa County","17212","3077","2,552 to 3,602","17.9","14.8 to 21.0"
"2016","06045","Mendocino County","86343","16366","14,460 to 18,272","19","16.8 to 21.2"
"2016","06047","Merced County","263212","53417","47,688 to 59,146","20.3","18.1 to 22.5"
"2016","06049","Modoc County","8530","1571","1,233 to 1,909","18.4","14.4 to 22.4"
"2016","06051","Mono County","13791","1583","1,257 to 1,909","11.5","9.1 to 13.9"
"2016","06053","Monterey County","417017","53898","47,489 to 60,307","12.9","11.4 to 14.4"
"2016","06055","Napa County","137865","10958","9,123 to 12,793","7.9","6.6 to 9.2"
"2016","06057","Nevada County","98161","10662","8,893 to 12,431","10.9","9.1 to 12.7"
"2016","06059","Orange County","3132411","348173","327,759 to 368,587","11.1","10.4 to 11.8"
"2016","06061","Placer County","377750","27340","23,863 to 30,817","7.2","6.3 to 8.1"
"2016","06063","Plumas County","18306","2312","1,762 to 2,862","12.6","9.6 to 15.6"
"2016","06065","Riverside County","2353236","359774","341,815 to 377,733","15.3","14.5 to 16.1"
"2016","06067","Sacramento County","1495158","243760","229,629 to 257,891","16.3","15.4 to 17.2"
"2016","06069","San Benito County","59028","6206","5,106 to 7,306","10.5","8.6 to 12.4"
"2016","06071","San Bernardino County","2101567","369012","349,985 to 388,039","17.6","16.7 to 18.5"
"2016","06073","San Diego County","3222062","400028","377,354 to 422,702","12.4","11.7 to 13.1"
"2016","06075","San Francisco County","855884","87690","80,692 to 94,688","10.2","9.4 to 11.0"
"2016","06077","San Joaquin County","719737","105268","95,873 to 114,663","14.6","13.3 to 15.9"
"2016","06079","San Luis Obispo County","267716","29345","25,758 to 32,932","11","9.7 to 12.3"
"2016","06081","San Mateo County","758708","50438","44,916 to 55,960","6.6","5.9 to 7.3"
"2016","06083","Santa Barbara County","427848","59468","52,991 to 65,945","13.9","12.4 to 15.4"
"2016","06085","Santa Clara County","1893000","175627","163,575 to 187,679","9.3","8.7 to 9.9"
"2016","06087","Santa Cruz County","263105","35339","31,072 to 39,606","13.4","11.8 to 15.0"
"2016","06089","Shasta County","176898","30359","26,924 to 33,794","17.2","15.3 to 19.1"
"2016","06091","Sierra County","2905","419","326 to 512","14.4","11.2 to 17.6"
"2016","06093","Siskiyou County","43048","8109","6,890 to 9,328","18.8","16.0 to 21.6"
"2016","06095","Solano County","429034","48701","43,062 to 54,340","11.4","10.1 to 12.7"
"2016","06097","Sonoma County","494870","46604","41,005 to 52,203","9.4","8.3 to 10.5"
"2016","06099","Stanislaus County","535914","77913","70,517 to 85,309","14.5","13.1 to 15.9"
"2016","06101","Sutter County","95868","16390","14,208 to 18,572","17.1","14.8 to 19.4"
"2016","06103","Tehama County","62483","13060","11,165 to 14,955","20.9","17.9 to 23.9"
"2016","06105","Trinity County","12545","2668","2,147 to 3,189","21.3","17.1 to 25.5"
"2016","06107","Tulare County","455664","112387","103,909 to 120,865","24.7","22.8 to 26.6"
"2016","06109","Tuolumne County","50412","7781","6,481 to 9,081","15.4","12.8 to 18.0"
"2016","06111","Ventura County","837929","81792","72,848 to 90,736","9.8","8.7 to 10.9"
"2016","06113","Yolo County","207067","39303","36,387 to 42,219","19","17.6 to 20.4"
"2016","06115","Yuba County","73985","12288","10,108 to 14,468","16.6","13.7 to 19.5"
"2017","00000","United States","317741588","42583651","42,342,619 to 42,824,683","13.4","13.3 to 13.5"
"2017","06000","California","38793030","5164169","5,111,205 to 5,217,133","13.3","13.2 to 13.4"
"2017","06001","Alameda County","1634436","152087","142,181 to 161,993","9.3","8.7 to 9.9"
"2017","06003","Alpine County","1117","202","155 to 249","18.1","13.9 to 22.3"
"2017","06005","Amador County","34669","3762","2,896 to 4,628","10.9","8.4 to 13.4"
"2017","06007","Butte County","224526","40728","36,647 to 44,809","18.1","16.3 to 19.9"
"2017","06009","Calaveras County","45139","5904","4,780 to 7,028","13.1","10.6 to 15.6"
"2017","06011","Colusa County","21544","2633","2,157 to 3,109","12.2","10.0 to 14.4"
"2017","06013","Contra Costa County","1138266","103883","94,803 to 112,963","9.1","8.3 to 9.9"
"2017","06015","Del Norte County","24845","6113","5,107 to 7,119","24.6","20.6 to 28.6"
"2017","06017","El Dorado County","187695","15620","12,971 to 18,269","8.3","6.9 to 9.7"
"2017","06019","Fresno County","972367","205046","192,640 to 217,452","21.1","19.8 to 22.4"
"2017","06021","Glenn County","27743","4111","3,255 to 4,967","14.8","11.7 to 17.9"
"2017","06023","Humboldt County","133150","26262","22,440 to 30,084","19.7","16.8 to 22.6"
"2017","06025","Imperial County","173506","35830","31,261 to 40,399","20.7","18.1 to 23.3"
"2017","06027","Inyo County","17696","2087","1,589 to 2,585","11.8","9.0 to 14.6"
"2017","06029","Kern County","861002","182948","171,072 to 194,824","21.2","19.8 to 22.6"
"2017","06031","Kings County","134707","24810","21,366 to 28,254","18.4","15.8 to 21.0"
"2017","06033","Lake County","63300","12817","10,736 to 14,898","20.2","16.9 to 23.5"
"2017","06035","Lassen County","23317","3790","2,934 to 4,646","16.3","12.6 to 20.0"
"2017","06037","Los Angeles County","10007071","1490853","1,454,153 to 1,527,553","14.9","14.5 to 15.3"
"2017","06039","Madera County","148973","31569","27,218 to 35,920","21.2","18.3 to 24.1"
"2017","06041","Marin County","254370","20222","17,808 to 22,636","7.9","7.0 to 8.8"
"2017","06043","Mariposa County","17368","2641","2,130 to 3,152","15.2","12.3 to 18.1"
"2017","06045","Mendocino County","86741","14156","11,702 to 16,610","16.3","13.5 to 19.1"
"2017","06047","Merced County","266552","61297","56,255 to 66,339","23","21.1 to 24.9"
"2017","06049","Modoc County","8637","1658","1,282 to 2,034","19.2","14.8 to 23.6"
"2017","06051","Mono County","14066","1313","994 to 1,632","9.3","7.0 to 11.6"
"2017","06053","Monterey County","419435","49860","43,546 to 56,174","11.9","10.4 to 13.4"
"2017","06055","Napa County","136679","9301","7,460 to 11,142","6.8","5.5 to 8.1"
"2017","06057","Nevada County","98883","10889","9,162 to 12,616","11","9.3 to 12.7"
"2017","06059","Orange County","3148278","362109","344,751 to 379,467","11.5","10.9 to 12.1"
"2017","06061","Placer County","383174","29873","26,624 to 33,122","7.8","7.0 to 8.6"
"2017","06063","Plumas County","18419","2640","2,105 to 3,175","14.3","11.4 to 17.2"
"2017","06065","Riverside County","2388862","309235","292,034 to 326,436","12.9","12.2 to 13.6"
"2017","06067","Sacramento County","1511229","213232","200,490 to 225,974","14.1","13.3 to 14.9"
"2017","06069","San Benito County","60015","5029","3,786 to 6,272","8.4","6.3 to 10.5"
"2017","06071","San Bernardino County","2118139","339748","320,900 to 358,596","16","15.1 to 16.9"
"2017","06073","San Diego County","3243699","385479","366,449 to 404,509","11.9","11.3 to 12.5"
"2017","06075","San Francisco County","868690","87314","79,689 to 94,939","10.1","9.2 to 11.0"
"2017","06077","San Joaquin County","731380","113375","102,366 to 124,384","15.5","14.0 to 17.0"
"2017","06079","San Luis Obispo County","268401","31826","27,789 to 35,863","11.9","10.4 to 13.4"
"2017","06081","San Mateo County","765157","48795","42,272 to 55,318","6.4","5.5 to 7.3"
"2017","06083","Santa Barbara County","429288","60921","55,050 to 66,792","14.2","12.8 to 15.6"
"2017","06085","Santa Clara County","1911659","142603","130,922 to 154,284","7.5","6.9 to 8.1"
"2017","06087","Santa Cruz County","264046","33262","28,841 to 37,683","12.6","10.9 to 14.3"
"2017","06089","Shasta County","177161","30155","26,328 to 33,982","17","14.8 to 19.2"
"2017","06091","Sierra County","2956","404","310 to 498","13.7","10.5 to 16.9"
"2017","06093","Siskiyou County","43305","7679","6,512 to 8,846","17.7","15.0 to 20.4"
"2017","06095","Solano County","433708","43352","37,727 to 48,977","10","8.7 to 11.3"
"2017","06097","Sonoma County","495804","46165","40,215 to 52,115","9.3","8.1 to 10.5"
"2017","06099","Stanislaus County","542014","75614","66,699 to 84,529","14","12.4 to 15.6"
"2017","06101","Sutter County","95866","12628","10,279 to 14,977","13.2","10.7 to 15.7"
"2017","06103","Tehama County","63125","12718","10,881 to 14,555","20.1","17.2 to 23.0"
"2017","06105","Trinity County","12471","2529","1,983 to 3,075","20.3","15.9 to 24.7"
"2017","06107","Tulare County","459688","110299","101,815 to 118,783","24","22.2 to 25.8"
"2017","06109","Tuolumne County","50889","6205","4,841 to 7,569","12.2","9.5 to 14.9"
"2017","06111","Ventura County","842392","80217","71,799 to 88,635","9.5","8.5 to 10.5"
"2017","06113","Yolo County","209714","36761","33,639 to 39,883","17.5","16.0 to 19.0"
